Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) & 80 % Volllast (m/s²);Nachtverkehr (10%) & 80 % Volllast (m/s²);Hauptverkehrszeit (100%) & 80 % Volllast (m/s²)
29,5;2,4126720238520374;1,6720227998040749;1,2;1,2;1,2
29,6;2,40325998918037;1,6654132795941263;1,2;1,2;1,2
29,700000000000003;2,394189990558514;1,6590439512515711;1,2;1,2;1,2
29,8;2,386395127626196;1,6535700759544454;1,2;1,2;1,2
29,900000000000002;2,378600066661873;1,648096061591051;1,2;1,2;1,2
30,0;2,3708048076655426;1,6426219081613864;1,2;1,2;1,2
30,1;2,3630093506372067;1,6371476156654532;1,2;1,2;1,2
30,200000000000003;2,3552136955768637;1,6316731841032501;1,2;1,2;1,2
30,3;2,3474178424845147;1,6261986134747786;1,2;1,2;1,2
30,400000000000002;2,340071521691115;1,6210397230279652;1,2;1,2;1,2
30,5;2,333295683255281;1,6162814488988009;1,2;1,2;1,2
30,6;2,3265196467874376;1,6115230357033654;1,2;1,2;1,2
30,700000000000003;2,3197434122875897;1,606764483441662;1,2;1,2;1,2
30,8;2,3129669797557355;1,602005792113689;1,2;1,2;1,2
30,900000000000002;2,306190349191874;1,5972469617194462;1,2;1,2;1,2
31,0;2,2994135205960062;1,5924879922589346;1,2;1,2;1,2
31,1;2,2924833158326736;1,5876213157070287;1,2;1,2;1,2
31,200000000000003;2,285477431592083;1,5827014938946278;1,2;1,2;1,2
31,3;2,2784713493194872;1,577781533015958;1,2;1,2;1,2
31,400000000000002;2,2714650690148828;1,5728614330710176;1,2;1,2;1,2
31,5;2,264458590678274;1,5679411940598096;1,2;1,2;1,2
31,6;2,2574519143096574;1,5630208159823311;1,2;1,2;1,2
31,700000000000003;2,2504450399090357;1,5581002988385841;1,2;1,2;1,2
31,8;2,2423869035522164;1,5524415420487003;1,2;1,2;1,2
31,900000000000002;2,2342105598134716;1,5466997751438887;1,2;1,2;1,2
32,0;2,2260340180427187;1,5409578691728067;1,2;1,2;1,2
32,1;2,2178572782399617;1,535215824135457;1,2;1,2;1,2
32,2;2,209680340405196;1,5294736400318363;1,2;1,2;1,2
32,300000000000004;2,201503204538425;1,5237313168619468;1,2;1,2;1,2
32,4;2,1934117005427956;1,5180491279353607;1,2;1,2;1,2
32,5;2,1859035708852463;1,5127766086086023;1,2;1,2;1,2
32,6;2,17839524319569;1,5075039502155743;1,2;1,2;1,2
32,7;2,170886717474127;1,5022311527562768;1,2;1,2;1,2
32,800000000000004;2,163377993720558;1,4969582162307102;1,2;1,2;1,1975665729845681
32,9;2,1558690719349833;1,4916851406388747;1,2;1,2;1,1933481125110998
33,0;2,148359952117401;1,4864119259807689;1,2;1,2;1,1891295407846152
33,1;2,1410665152853348;1,481290172839906;1,2;1,2;1,1850321382719249
33,2;2,134161065004834;1,476440879910168;1,2;1,2;1,1811527039281344
33,300000000000004;2,1272554166923263;1,4715914479141605;1,2;1,2;1,1772731583313285
33,4;2,120349570347814;1,466741876851885;1,2;1,2;1,173393501481508
33,5;2,1134435259712947;1,4618921667233393;1,2;1,2;1,1695137333786716
33,6;2,1065372835627683;1,4570423175285243;1,2;1,2;1,1656338540228195
33,7;2,099630843122235;1,4521923292674395;1,2;1,2;1,1617538634139517
33,800000000000004;2,0932839997851027;1,447735313248105;1,2;1,2;1,158188250598484
33,9;2,087331563231139;1,4435552659921922;1,2;1,2;1,1548442127937537
34,0;2,081378928645168;1,4393750796700098;1,2;1,2;1,1515000637360078
34,1;2,0754260960271913;1,4351947542815582;1,2;1,2;1,1481558034252466
34,2;2,069473065377208;1,431014289826837;1,2;1,2;1,1448114318614697
34,300000000000004;2,063519836695218;1,4268336863058464;1,2;1,2;1,1414669490446772
34,4;2,0575664099812228;1,422652943718587;1,2;1,2;1,1381223549748698
34,5;2,0523065265560767;1,4189592359271008;1,2;1,2;1,1351673887416807
34,6;2,047203186701984;1,4153754595088737;1,2;1,2;1,132300367607099
34,7;2,042099648815885;1,4117915440243765;1,2;1,2;1,1294332352195011
34,800000000000004;2,0369959128977793;1,4082074894736107;1,2;1,2;1,1265659915788886
34,9;2,031891978947667;1,4046232958565747;1,2;1,2;1,12369863668526
35,0;2,0267878469655494;1,4010389631732703;1,2;1,2;1,1208311705386163
35,1;2,021679008277013;1,3974513252459586;1,2;1,2;1,1179610601967669
35,2;2,016473984166172;1,393796141935018;1,2;1,2;1,1150369135480145
35,300000000000004;2,0112687620233234;1,390140819557807;1,2;1,2;1,1121126556462457
35,4;2,0060633418484692;1,3864853581143277;1,2;1,2;1,1091882864914622
35,5;2,000857723641608;1,3828297576045783;1,2;1,2;1,1062638060836627
35,6;1,99565190740274;1,3791740180285599;1,2;1,2;1,103339214422848
35,7;1,990445893131866;1,3755181393862719;1,2;1,2;1,1004145115090176
35,800000000000004;1,984952087329284;1,3716601616218034;1,2;1,2;1,0973281292974428
35,9;1,9786961635685942;1,3672669930912362;1,2;1,2;1,093813594472989
36,0;1,9724400417758963;1,3628736854943986;1,2;1,2;1,090298948395519
36,1;1,9661837219511926;1,358480238831292;1,2;1,2;1,0867841910650335
36,2;1,9599272040944833;1,3540866531019164;1,2;1,2;1,0832693224815333
36,300000000000004;1,9536704882057663;1,3496929283062713;1,2;1,2;1,0797543426450171
36,4;1,947413574285044;1,345299064444357;1,2;1,2;1,0762392515554857
36,5;1,940762192547356;1,3406281889585632;1,2;1,2;1,0725025511668507
36,6;1,9337213371897213;1,3356838089806933;1,2;1,2;1,0685470471845546
36,7;1,9266802838000792;1,330739289936553;1,2;1,2;1,0645914319492424
36,800000000000004;1,9196390323784316;1,3257946318261444;1,2;1,2;1,0606357054609157
36,9;1,912597582924777;1,320849834649466;1,2;1,2;1,0566798677195728
37,0;1,905555935439117;1,3159048984065187;1,2;1,2;1,052723918725215
37,1;1,8985140899214492;1,3109598230973014;1,2;1,2;1,0487678584778413
37,2;1,8931608936931983;1,3072005871942556;1,2;1,2;1,0457604697554046
37,300000000000004;1,8884247233419518;1,3038746523941476;1,2;1,2;1,0430997219153182
37,4;1,8836883549587;1,3005485785277708;1,2;1,2;1,0404388628222168
37,5;1,8789517885434408;1,2972223655951245;1,2;1,2;1,0377778924760996
